totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
100,1,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,3.5,2.33253,46.2579,-2.42042,0.493867,6.53361,2.09702,7.72027,74.8037,28.5458,45.7903,orange
100,2,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,4,2.66546,45.9249,-2.38683,0.495007,6.54403,2.1652,7.70142,74.297,28.3721,45.4627,yellow
100,3,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,4.5,2.99828,45.5921,-2.35287,0.496676,6.5539,2.2333,7.68195,73.7898,28.1977,45.1352,green
100,4,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,5,3.33098,45.2594,-2.31854,0.498883,6.56322,2.30129,7.66186,73.282,28.0226,44.8077,blue
100,5,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,5.5,3.66353,44.9268,-2.28383,0.501636,6.57196,2.36917,7.64114,72.7737,27.8468,44.4803,red
100,6,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,6,3.99593,44.5944,-2.24873,0.504945,6.58012,2.43694,7.6198,72.2649,27.6704,44.153,orange
100,7,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,6.5,4.32816,44.2622,-2.21323,0.508818,6.5877,2.50457,7.59784,71.7556,27.4934,43.8259,yellow
100,8,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,7,4.6602,43.9302,-2.17733,0.513265,6.59467,2.57206,7.57526,71.2459,27.3157,43.4988,green
100,9,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,7.5,4.99205,43.5983,-2.14101,0.518294,6.60103,2.6394,7.55206,70.7358,27.1374,43.1719,blue
100,10,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,8,5.32368,43.2667,-2.10427,0.523916,6.60676,2.70658,7.52824,70.2253,26.9586,42.8452,red
100,11,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,8.5,5.65508,42.9353,-2.0671,0.530141,6.61186,2.77359,7.50381,69.7145,26.7792,42.5186,orange
100,12,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,9,5.98624,42.6041,-2.0295,0.536978,6.61631,2.84042,7.47877,69.2033,26.5992,42.1922,yellow
100,13,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,9.5,6.31715,42.2732,-1.99145,0.544437,6.6201,2.90706,7.45312,68.6919,26.4187,41.866,green
100,14,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,10,6.64778,41.9426,-1.95295,0.552528,6.62322,2.9735,7.42686,68.1803,26.2377,41.5401,blue
100,15,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,10.5,6.97812,41.6123,-1.91398,0.561262,6.62565,3.03973,7.4,67.6684,26.0561,41.2143,red
100,16,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,11,7.30817,41.2822,-1.87454,0.57065,6.62739,3.10574,7.37254,67.1564,25.8741,40.8888,orange
100,17,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,11.5,7.6379,40.9525,-1.83461,0.580702,6.62842,3.17152,7.34448,66.6442,25.6917,40.5636,yellow
100,18,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,12,7.96729,40.6231,-1.7942,0.59143,6.62873,3.23707,7.31583,66.1318,25.5088,40.2387,green
100,19,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,12.5,8.29634,40.294,-1.75328,0.602844,6.6283,3.30236,7.28659,65.6194,25.3254,39.9141,blue
100,20,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,13,8.62504,39.9653,-1.71185,0.614956,6.62713,3.3674,7.25676,65.107,25.1416,39.5898,red
100,21,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,13.5,8.95335,39.637,-1.66989,0.627779,6.62519,3.43217,7.22635,64.5945,24.9575,39.2658,orange
100,22,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,14,9.28127,39.3091,-1.62741,0.641322,6.62248,3.49667,7.19537,64.0821,24.7729,38.9421,yellow
100,23,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,14.5,9.60879,38.9816,-1.58438,0.6556,6.61898,3.56088,7.16381,63.5696,24.588,38.6188,green
