totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
500,301,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.1,21.3502,27.2401,0.53582,1.84956,5.77499,5.67034,5.64333,44.8632,17.6231,27.009,gray
500,302,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.2,21.4102,27.1802,0.550831,1.86038,5.76574,5.67988,5.63373,44.7663,17.5861,26.9497,darkgray
500,303,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.3,21.4701,27.1203,0.565892,1.87125,5.75642,5.6894,5.62412,44.6694,17.5491,26.8904,black
500,304,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.4,21.5299,27.0605,0.581004,1.88219,5.74703,5.69889,5.6145,44.5726,17.5122,26.8311,red
500,305,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.5,21.5897,27.0006,0.596166,1.89319,5.73759,5.70837,5.60487,44.4758,17.4752,26.7719,purple
500,306,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.6,21.6495,26.9409,0.611379,1.90424,5.72808,5.71782,5.59523,44.3792,17.4383,26.7127,magenta
500,307,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.7,21.7092,26.8812,0.626643,1.91536,5.71851,5.72725,5.58557,44.2825,17.4014,26.6536,pink
500,308,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.8,21.7689,26.8215,0.641959,1.92653,5.70887,5.73665,5.57591,44.1859,17.3645,26.5945,violet
500,309,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,33.9,21.8285,26.7619,0.657327,1.93777,5.69917,5.74604,5.56624,44.0894,17.3276,26.5355,white
500,310,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34,21.8881,26.7023,0.672746,1.94906,5.68941,5.7554,5.55656,43.993,17.2907,26.4764,orange
500,311,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.1,21.9477,26.6427,0.688217,1.96042,5.67958,5.76474,5.54687,43.8966,17.2538,26.4175,yellow
500,312,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.2,22.0071,26.5832,0.703741,1.97184,5.66969,5.77406,5.53717,43.8002,17.217,26.3586,green
500,313,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.3,22.0666,26.5238,0.719317,1.98332,5.65973,5.78335,5.52746,43.704,17.1802,26.2997,lime
500,314,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.4,22.126,26.4644,0.734947,1.99486,5.6497,5.79263,5.51774,43.6078,17.1434,26.2409,brown
500,315,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.5,22.1854,26.405,0.750629,2.00646,5.63961,5.80188,5.50801,43.5116,17.1066,26.1821,olive
500,316,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.6,22.2447,26.3457,0.766364,2.01812,5.62946,5.81111,5.49828,43.4155,17.0698,26.1234,blue
500,317,1.5,8,3,3,7.4162,22.0243,-5.2915,131.41,34.7,22.3039,26.2864,0.782153,2.02985,5.61924,5.82031,5.48853,43.3195,17.0331,26.0647,cyan
